"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 3.23987263437415 3.3893165310482 3.68794862954799 6.67130476100822 4.46129981556839 1.80993798773961 3.352160590493 6.54821910276237 2.70418854072311 3.82617159571264 2.81672404282691
"2" 4.21150378338467 2.74841866284556 3.13747728043321 4.86109030030494 2.81540871942271 3.53372988183484 3.95545272292079 7.00669522683704 0.318933140484008 3.27349697465237 2.67797775469301
"3" 3.52325388028321 2.89990720416448 3.24297201469422 3.67321975252539 2.91235066461494 2.39758871418165 2.98462760006188 5.99893656194668 3.97693469297919 4.91680955366006 1.39129985855532
"4" 3.79007414933226 2.91121537378042 3.0778177501274 5.22937465184941 3.39114704580865 1.1133507149016 2.15493046950635 5.33271879326537 1.37521899979882 1.79370494600193 4.09954416988486
"5" 3.74276601727763 2.83273561558804 3.76485810168239 2.84257274895022 1.42069578783722 2.41601200743354 3.11669097955851 5.4971682252932 2.72746724644366 3.46222276462975 2.73801332413246
"6" 2.94973842258727 2.54361801215081 3.05051960066755 4.9827425652262 4.24563400976833 3.66756848942303 3.72848118730544 6.80903930604298 1.09507318591237 2.40982747166886 3.67403964958442
"7" 3.27712822513573 2.54060637337812 2.52818972312908 4.15433975403817 3.16547504814109 1.93160062772203 4.33907456044677 6.48463523563525 1.09131040807204 2.97142842872523 4.8534045636887
"8" 4.399171137683 3.28494889917083 2.60389106272536 2.98466545295699 2.90690105984738 1.05272595794707 3.29911947553004 6.20657592672493 0.858440653827245 2.83371309700883 3.85489660434466
"9" 2.81619268540616 2.06937214121515 1.55559757982155 3.13327708417871 2.79728133483015 1.46768074256349 3.57764773953833 6.72743172485086 3.63008041745788 4.35602470867166 3.44477949549821
"10" 4.18242899875963 3.2452475535793 1.40636134526166 5.92052138734405 3.18221184049661 2.37556376526299 5.19925906079791 7.27655640271871 3.23125754428928 4.21766734033585 3.07573439780486
"11" 3.72966802633437 3.05401675449067 2.30336789018227 3.35244261587016 2.06812778177956 1.03702369214413 3.05584055583363 2.82137888640921 1.64185681987211 1.23489117281131 5.53687442507241
"12" 3.58624072433271 2.60045546790964 0.944259024430563 1.87229408826623 2.86220088092947 4.56619253394691 4.56484373098474 7.80710329012598 2.2652737359422 3.19722743345568 2.70423886161204
"13" 4.0429653819146 3.65075679859614 1.78374967817121 4.4459594523649 3.58073729549423 1.60260527141126 3.47488192955241 6.34035930372775 2.99058847313318 3.91916241259309 4.97382827792811
"14" 3.58661914354603 3.37734008768201 3.82098722582384 2.7684070010819 1.7630170003624 2.95515000563659 3.15026116953894 5.62040086571715 3.35027325319748 3.80325879858456 3.16054653719677
"15" 4.34774673830817 3.44571694267436 2.66423416270283 4.1451544548325 3.60549784517489 3.05543636046521 4.28432784460459 6.77308037565554 1.20091745246072 2.84358447769209 5.63735135496293
"16" 3.48900425337143 3.3662131708933 2.75481295164268 3.83495486286468 3.4626060097908 -0.0248775062240325 3.43237755289606 6.23244801655052 3.03696994493333 3.76015460882244 3.98664852958728
"17" 3.61284157765223 3.10819886366874 3.41288755012354 3.98253548574646 4.61512051684126 1.2945375841501 2.94481623177834 6.21460809842219 3.30281980227418 3.76363074131592 3.31056712146893
"18" 3.47107426056557 3.26373020954571 3.80030343180871 4.14695404676717 2.76000994003292 3.29075492854323 5.33272719237347 7.6182510978767 2.39858954218478 4.08878202590889 2.89906600141956
"19" 3.54806206712951 2.15042263382645 1.90364469091836 3.3335868642802 4.01998014693324 3.32995178027435 3.88992214103546 6.99759598298193 3.41443314745853 4.18878414250736 2.57343985533146
"20" 4.46765046341026 3.7392796050918 2.75943520600557 4.14978459126837 1.98787434815435 1.78418261707869 3.19081288508382 4.39814601655377 2.94810943326378 3.63232445596324 2.70324291337303
"21" 4.33144944117122 3.45724440198771 0.532215540444132 4.80795706940944 4.16511363311031 3.55369983660332 3.43248776880984 5.75574221358691 1.86363760814321 2.81327716024054 4.19850210703904
"22" 2.60418101021553 2.0826239712639 2.04102766328991 2.55214084865425 2.77881927199042 1.42748634290057 3.8045591597579 5.6937321388027 1.2450093625896 3.07796468712217 3.5624353292844
"23" 4.24866906410935 3.53292305627409 2.98834709371555 4.56528092792055 3.63495111208838 3.55852831666945 3.78199424038694 6.59304453414244 2.64779925248991 3.64477399857589 3.21802319525583
"24" 3.9656025423519 3.3462417720648 3.08969069205441 3.67996470239572 2.58776403522771 2.99923778932395 3.43665110999561 6.88959130835447 1.76134220039648 2.69019678741431 3.68699041799771
"25" 4.26626847757176 2.8377490207563 1.94605685071554 2.75838993594036 3.62434093297637 3.33439986751062 3.21471049966718 6.72743172485086 3.10446750837084 4.35317549899013 4.29512603240771
"26" 4.10456867826549 2.7608899693122 2.56281727196939 3.59823563160077 2.86220088092947 2.01866222636402 2.70116935648843 5.4510384535657 2.57135780861454 3.37050381573237 2.92533649473548
